Site ID,samples22k,Site Name,Lat,Long,Elev,Preferred Units,Biome,Region,Country,Site Type,Water Depth (m),Basin Size,Catchment Size,Landscape,Local Veg,Regional Veg,Streams,Have Pub?,Original Dating Type,Record Source,Age Model,Data Source,Database (Source),Project,Published,Version,ID_Status
12,252,Mumbo,41.1913,-122.5092,1860,X125,9,WNA0,US00,LACU,0,VESM,SMAL,MOUN,"Pinus monticola (western white pine), P. albicaulis (whitebark pine), P. contorta (lodgepole pine), P. Jefferyi (Jeffery pine), Pseudotsuga menziesii, Abies magnifica (red fir), Abies concolor (white fir), Calocedrus decurrens (incense cedar)",Diverse conifer forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
13,990,Trail,44.28,-110.17,2362,X125,11,WNA0,US00,LACU,0,MEDI,SMAL,MOUN,"Pseudotsuga menziesii, Pinus contorta, Abies bifolia, and Picea engelmannii",Montane forest,INON,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
14,446,Lost,45.8242,-123.5792,449,X125,4,WNA0,US00,LACU,0,VESM,SMAL,MOUN,"Tsuga heterophylla (western hemlock), Pseudotsuga menziesii (Douglas-fir), Picea sitchensis (Sitka spruce) and Alnus rubra (red alder)",Closed temperate rainforest,CLOS,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
16,329,Taylor,46.1006,-123.9067,6,C125,5,WNA0,US00,LACU,0,VESM,SMAL,COPL,"Tsuga heterophylla (western hemlock), Pseudotsuga menziesii (Douglas-fir), Picea sitchensis (Sitka spruce) and Alnus rubra (red alder)",Closed temperate rainforest,NOTK,Yes,CALO,C. Long,POLY,RAW0,NOTA,,No,GCD1,BART
17,32,Abalone Rocks Marsh,33.956389,-119.976667,31,FRAG,14,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
18,22,Beach,65.216667,-127.05,81,GT50,10,WNA0,CANA,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
19,88,Beef Pasture,37.416667,-108.15,3060,GT25,21,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 2,LINE,RAW0,IMPD,,No,GCD1,BART
21,31,Como,37.55,-105.5,3523,FRAG,14,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
22,23,Crane,36.716667,-112.216667,2590,FRAG,7,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
23,18,Excelsior Basin,52.783333,-117.116667,2631,GT24,23,WNA0,CANA,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
25,23,Forest Pond 1,43.471667,-109.938889,2797,CPAR,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
26,26,Forest Pond 2,43.438889,-109.95,2766,CPAR,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
27,17,Frying Pan,38.616667,-111.666667,2720,FRAG,20,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
28,18,Head,37.6939,-105.7338,2294,FRAG,9,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
29,17,Howes Prairie Marsh,41.65,-87.072222,185,FRAG,16,ENA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
30,34,Maligne Lake,52.733333,-117.616667,1675,GT24,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
31,69,Montezuma Well,34,-112,1125,FRAG,14,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,Davis & Schafer 1992,LINE,RAW0,IMPD,,No,GCD1,BART
32,96,Ninisith Lake,59.5833,-113,225,XFRS,10,WNA0,CANA,LACU,3.2,SMAL,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,"Larsen, Morris, MacDonald, 2000",LINE,RAW0,IMPD,,No,GCD1,BART
33,21,Park Pond 1,43.468056,-109.959444,2705,CPAR,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
34,28,Park Pond 2,43.45,-109.940833,2714,CPAR,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
35,35,Park Pond 3,43.459167,-109.92,2739,CPAR,10,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
36,21,Posy Lake,37.95,-111.7,2653,FRAG,21,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
39,47,San Joaquin Marsh,33.658333,-117.858333,2,FRAG,21,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
40,60,Swamp Lake,37.95,-119.816667,1554,CMML,8,WNA0,US00,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
41,25,Tonquin Creek,52.733333,-118.366667,1935,GT24,10,WNA0,CANA,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 1,LINE,RAW0,IMPD,,No,GCD1,BART
42,31,Wilcox Pass,52.241667,-117.216667,2355,GT30,10,WNA0,CANA,LACU,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,DCAL,NAPD 2,LINE,RAW0,IMPD,,No,GCD1,BART
51,235,Dog Lake,50.766,-116.1,1183,C250,7,WNA0,CANA,LACU,4.7,SMAL,MEDI,MOUN,"Pinus contorta, Pseudotsuga menziesii and Picea glauca",Montane spruce,INOU,Yes,CALO,D. Hallett,POLY,RAW0,NOTA,,No,GCD1,BART
52,241,Frozen,49.6,-121.466,1180,C125,10,WNA0,CANA,LACU,17,SMAL,NOTK,MOUN,NOTK,Mountain Hemlock Zone,NOTK,No,CALO,,NOTK,RAW0,NOTA,,No,GCD1,BART
53,298,Mount Barr Cirque,49.266,-121.5166,1376,C125,10,WNA0,CANA,LACU,9,SMAL,NOTK,MOUN,NOTK,Mountain Hemlock Zone,NOTK,No,CALO,,NOTK,RAW0,NOTA,,No,GCD1,BART
54,45,Martins,47.7138,-123.54,1415,X125,11,WNA0,US00,LACU,0,VESM,SMAL,NOTK,NOTK,NOTK,NOTK,No,CALO,Gavin (jm),NOTK,RAW0,NOTA,NOTA,No,GCD2,BART
55,36,Moose,47.883,-123.35,1508,C125,4,WNA0,US00,LACU,0,SMAL,SMAL,NOTK,NOTK,NOTK,NOTK,No,CALO,Gavin (jm),NOTK,RAW0,NOTA,NOTA,No,GCD2,BART
56,31,Laguna Chaplin,-14.466667,-61.066667,225,GT53,3,TSA0,BOLI,LTEC,2,MEDI,MEDI,LOPL,"Virgin, tall humid evergreen rainforest","Virgin, tall humid evergreen rainforest",INOU,No,RADI,F. Mayle,NOMO,AUTH,NOTA,,No,GCD1,BART
57,38,Laguna Bella Vista,-13.616667,-61.55,191,GT53,12,TSA0,BOLI,LTEC,2,MEDI,MEDI,LOPL,"Virgin, tall humid evergreen rainforest","Virgin, tall humid evergreen rainforest",INOU,No,RADI,F. Mayle,NOMO,AUTH,NOTA,,No,GCD1,BART
58,132,Lake Titicaca,-16.13444,-69.155278,3810,CARE,22,TSA0,BOLI,LTEC,0,VELG,LARG,MOUN,Puna & Shrub,Puna & Shrub,OUTO,No,RADI,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
59,63,Siberia 93-1,-17.83333,-64.718889,2920,%TOF,6,TSA0,BOLI,TBOG,0,SMAL,SMAL,MOUN,"Cloud forest, open forest, & Puna","Cloud forest, open forest, & Puna",NOTK,Yes,RADI,Mourguiart & Ledru (mjp),SMSP,DIGI,NOTA,,No,GCD1,BART
60,125,Surucucho,-3.0625,-78,3180,GT2X,1,TSA0,ECUA,LGMC,14,SMAL,SMAL,MOUN,moist Andean forest and grassland,Ecotone between sub-Andean forest and sub-paramo,INOU,No,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
61,51,Laguna Chorreras,-2.75,-79.166667,3700,C100,6,TSA0,ECUA,LMOR,14,NOTK,NOTK,MOUN,Forest wetlands and fire-scorched paramo,"Paramo, with isolated foerst patches",INOU,No,NOTK,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
62,29,Laguna Pallcacocha,-2.75,-79.166667,4060,C100,6,TSA0,ECUA,LMOR,8,NOTK,NOTK,MOUN,"Grasses & herbs, with small patches of forest",Paramo with isolated forest patches,INOU,No,NOTK,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
63,64,Laguna de Chochos,-7.63625,-77.47455,3285,LT1M,5,TSA0,PERU,LMOR,10,NOTK,NOTK,MOUN,Timberline forest,Ecotone between timberline forest and puna alpine vegetation,NOTK,No,CALO,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
64,23,Comprida,-1.624914,-53.99962,130,GT05,1,TSA0,BRAZ,LFLU,5,SMAL,NOTK,LRVA,humid semi-deciduous terra-firme forests before clearance,"Cleared lowland rainforest, now xeric grassland",INON,No,NOTK,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
65,70,Geral,-1.646903,-53.5955283,130,XPIX,1,TSA0,BRAZ,LFLU,0,NOTK,NOTK,LRVA,rain forest and edaphic savanna,"Cleared lowland rainforest, now xeric grassland",NOTK,Yes,NOTK,Bush,NOTK,AUTH,NOTA,,No,GCD1,BART
67,60,Ghab,35.65,36.25,240,FRAG,5,ASIA,SYRI,LDRA,240,LARG,LARG,BARA,"Cultivated fields, meadows","Crops, rushes, sedges, grasses",INOU,Yes,NOTK,,NOTK,DIGI,NOTA,,No,GCD1,BART
68,18,Chernaya NG-2,44.5681,33.62417,2,CPRA,20,EURO,UKRA,FLUV,2,VESM,SMAL,LRVA,"Cereal cultivation, Typha, Juncus, Cyperaceae,'Salix, Populus; Quercus pubescens and Carpinus orientalis on slopes.",Temperate forest-steppe to Sub-Mediterranean,INOU,No,NOTK,,NOTK,AUTH,NOTA,,No,GCD1,BART
69,17,Yaila-Crimea,44.4833,34.05917,1205,CPRA,27,EURO,UKRA,TLTP,0,VESM,SMAL,UPPL,"Mixed-herb, highland meadow","Mixed-herb, highland meadow",INON,No,NOTK,,NOTK,AUTH,NOTA,,No,GCD1,BART
70,12,Wadi Shallalah,32.5928,35.94917,385,FRAG,14,ASIA,JORD,FLUV,0,MEDI,SMAL,DIUP,Mediterranean scrub and grassland,Mediterranean non-forest,INOU,No,NOTK,,NOTK,AUTH,NOTA,,No,GCD1,BART
71,25,Lake Suho Breznishko,41.8167,23.35,1963,OTHE,16,EURO,BULG,LCIR,1,SMAL,SMAL,MOUN,Pinus forest,Coniferous belt near upper forest limit,NOTK,Yes,NOTK,,NOTK,DIGI,NOTA,,No,GCD1,BART
72,21,Lake Okadensko,41.7833,23.35,2475,OTHE,16,EURO,BULG,LCIR,0,SMAL,SMAL,MOUN,Pinus forest,Coniferous belt near upper forest limit,NOTK,Yes,NOTK,,NOTK,DIGI,NOTA,,No,GCD1,BART
73,161,Lake Van,38.5578,42.5386,1648,CHCO,20,ASIA,TRKY,LTEC,430,VELG,LARG,BARA,Artemisia steppe,Artemisia steppe and oak woodland,INON,Yes,NOTK,N. Roberts/Vanniere (2009),NOTK,RAW0,NOTA,,No,GCD3,BART
75,101,Lake Facil,-44.325,-74.2833,10,PPOL,6,SSA0,CHIL,LNAT,3,VESM,SMAL,COPL,Pilgerodendron & Northofagus,"N Patagonian rainforest, evergreen broadleaf and conifers",NOTK,Yes,CALO,S. Haberle,NOTK,AUTH,NOTA,,No,GCD1,BART
76,58,Laguna Venus,-45.5333,-72.016667,600,C150,9,SSA0,CHIL,LTEC,5.5,MEDI,MEDI,LRVA,Mature Northofagus forests with Pinus and Pseudotsuga plantations,Ecotone between Patagonia rainforest and temperate subarctic deciduous forest,OUTO,Yes,CALO,,NOTK,DIGI,NOTA,,No,GCD1,BART
77,118,Quilichao-1,3.1,-76.516667,1020,%DWT,1,TSA0,COLO,LFLU,0,MEDI,SMAL,LRVA,"Deforested, dominated by sugar-cane crops","Formerly, tropical dry forest",NOTK,Yes,RADI,Berrio et al 2002,SMSP,DIGI,NOTA,,No,GCD1,BART
78,35,La-Teta-2,3.0833,-76.5333,1020,%DWT,1,TSA0,COLO,LFLU,0,MEDI,SMAL,LRVA,"Deforested, dominated by sugar-cane crops","Formerly, tropical dry forest",NOTK,Yes,RADI,Berrio etal 2002,SMSP,DIGI,NOTA,,No,GCD1,BART
79,82,El Patia-1,2.0333,-77,760,%DWT,5,TSA0,COLO,LFLU,0,SMAL,SMAL,LRVA,"Deforested, dominated by secondary forest and coffee plantations","Formerly, lowland tropical dry forest",NOTK,Yes,RADI,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
80,78,Lago do Pires,-17.95,-42.2167,390,X55P,3,TSA0,BRAZ,LNAT,5,VESM,SMAL,ROUP,Semi-deciduous tropical forest,"Largely deforested, but relics of semi-deciduous forest on hilltops",NOTK,Yes,RADI,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
81,185,Laguna Las Margaritas,3.3833,-73.4333,290,MT10,1,TSA0,COLO,LFLU,1.5,SMAL,SMAL,LRVA,"Mixture of savanna, gallery forest, and Mauritia palm swamp","Open savanna, with trees confined to gallery forest along the river",NOTK,Yes,CALO,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
83,46,Morro de Itapeva,-22.7833,-45.57333,1850,PP51,2,TSA0,BRAZ,TBOG,0,VESM,SMAL,MOUN,"mixture of grassland, Araucaria forest, and Atlantic rainforest","mixture of grassland, Araucaria forest, and Atlantic rainforest",NOTK,Yes,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
84,40,Serra Campos Gerais,-24.6667,-50.216667,1200,GT5C,6,TSA0,BRAZ,TBOG,0,VESM,SMAL,DIUP,"Pasture, but formerly a mosaic of grassland, Araucaria forest, and rainforest","Pasture, but formerly a mosaic of grassland, Araucaria forest, and rainforest",NOTK,Yes,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
85,24,Catas Altas,-20.0833,-43.36667,755,5015,3,TSA0,BRAZ,TDET,0,VESM,SMAL,ROUP,Semi-deciduous tropical forest,Semi-deciduous tropical forest,NOTK,Yes,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
86,41,Lago Crispim,-0.622637,-47.643633,2,X520,2,TSA0,BRAZ,LNAT,2,VESM,SMAL,COPL,"disturbed coastal vegetation -- herbs, shrubs, mangrove, saltmarshes, grassland","Coastal dune vegetation, plus rainforest and Mauritia palm further inland",NOTK,Yes,RADI,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
87,36,Rio Curua,-1.734653,-51.454924,3,X520,2,TSA0,BRAZ,FLUV,0,SMAL,SMAL,LOPL,Amazon rainforest,Amazon rainforest,INOU,Yes,RADI,Behling&Lima 2000 (mjp),SMSP,DIGI,NOTA,,No,GCD1,BART
88,11,Fazendo do Pinto,-29.4,-50.56667,900,PPOL,6,TSA0,BRAZ,TBOG,0,VESM,SMAL,ROUP,Pre-settlement veg: mosaic of grassland and Araucaria forest patches,Pre-settlement veg: mosaic of grassland and Araucaria forest patches,NOTK,No,RADI,mjp,NOTK,DIGI,NOTA,,No,GCD1,BART
89,45,Lagoa Nova,-17.95912,-42.202451,390,X550,3,TSA0,BRAZ,LNAT,6,SMAL,SMAL,DIUP,"Prior to deforestation, semi-deciduous tropical forest","Prior to deforestation, semi-deciduous tropical forest",NOTK,No,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
90,208,Cambara do Sul,-29.0525,-50.10111,1040,XCM3,6,TSA0,BRAZ,TBOG,0,SMAL,SMAL,DIUP,"Mosaic of herbs, small shrubs, Sphagnum & Polytrichum moss",Prior to settlement: mosaic of Araucaria forest and grassland,NOTK,No,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
91,373,Dune Lake,64.4167,-149.9,134,CARE,10,WNA0,US00,COAS,9,MEDI,MEDI,OTHE,Picea forest,Picea dominant,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
92,577,Trebol Lake,-41.07125,-71.4916,758,C250,9,SSA0,ARGE,NOTK,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
93,1456,Mosquito Lake,-42.496,-71.4029,556,C250,4,SSA0,ARGE,LTHK,-9999,SMAL,SMAL,HUDI,Austrocedrus chilensis woodland,transitional from open forest to steppe,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
95,97,17940 core,20.1167,117.3833,0,XCM3,-9,ASIA,OCEA,MARI,1727,VELG,LARG,MARI,NOTA,NOTA,MARI,No,NOTK,,,DIGI,NOTA,,No,GCD1,BART
97,197,Dongganchi site,40.2,116,49,XCM3,4,ASIA,CHIN,TLIT,-9999,NOTK,NOTK,LOPL,Artificial deciduous broad-leaved forest and agricultural field,deciduous broad-leaved forest in warm temperature zone,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
98,68,Kunming lake CK3 core,39.9833,116.2667,48.6,XPEA,4,ASIA,CHIN,LACU,-9999,MEDI,SMAL,LRVA,aquatic plants,deciduous broad-leaved forest in warm temperature zone,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
99,250,Nanwangcun natural profile,37,118,10,XPEA,4,ASIA,CHIN,TLIT,-9999,NOTK,NOTK,LOPL,fruit trees and agricultural field,deciduous broad-leaved forest in warm temperature zone,NOTK,No,,,,DIGI,NOTA,,No,GCD1,BART
100,85,Qindeli peat section,47.92689,133.22806,74,CARE,10,ASIA,CHIN,TMIR,80,VELG,LARG,LOPL,wetland vegetation dominated by grass and Carex,Coniferous and broad-leaved mixed forest in temperature zone,INOU,No,NOTK,,,DIGI,NOTA,,No,GCD1,BART
101,115,Yangjiawan paleosoil section,39.4689,110.1756,1219,XFRG,20,ASIA,CHIN,OTHE,0,NOTK,NOTK,UPPL,"""Sandy plants(dominated by Artemisia
ordosic)""",steppe,NOTK,No,NOTK,,,DIGI,NOTA,,No,GCD1,BART
103,55,Xishan relic site,34.9167,113.53,130,XCM3,4,ASIA,CHIN,TLUS,0,NOTK,NOTK,LOPL,agricultural vegetation,deciduous broad-leaved forest in warm temperature zone,NOTK,No,RADI,,,DIGI,NOTA,,No,GCD1,BART
104,35,Muchang peat section,43.0333,122.2,308.4,FRAG,20,ASIA,CHIN,TMSH,0,MEDI,NOTK,LRVA,subshrub and herb,Sandy sparsed woodland steppe,NOTK,No,NOTK,,,DIGI,NOTA,,No,GCD1,BART
107,663,ES core,25,100.1,1974,XFRG,6,ASIA,OCEA,LTEC,10.8,LARG,LARG,OTHE,"aquatic plants dominated by Vallisneria,Hydrocharitaceae,Potamogeton maackianus,Azolla and Myriophyllum et al.",semi-humid evergreen broad-leaved forest,INOU,No,RADI,,,DIGI,NOTA,,No,GCD1,BART
108,52,Daxigou profile,43.1456,86.91528,3450,XFRG,10,ASIA,CHIN,TLIT,0,NOTK,NOTK,MOUN,alpine meadow,alpine and subalpine meadow,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
109,429,Lijiayuan section,36.1167,104.85833,1850,BCCT,7,ASIA,CHIN,TLUS,0,NOTK,NOTK,OTHE,sparsed shrub woodland steppe,deciduous broad-leaved forest in warm temperature zone,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
110,186,Lingtai section,35.009167,107.50916,1400,BCCT,4,ASIA,CHIN,TLUS,0,NOTK,NOTK,OTHE,sparsed shrub woodland steppe,deciduous broad-leaved forest in warm temperature zone,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
111,295,Weinan section1,34.0667,109,650,BCCT,4,ASIA,CHIN,TLUS,0,NOTK,NOTK,OTHE,sparsed shrub woodland steppe,deciduous broad-leaved forest in warm temperature zone,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
113,253,Huguangyan Maar Lake,21.15,110.2833,87.6,XARE,1,ASIA,CHIN,LACU,22,SMAL,SMAL,OTHE,aquatic plants,sub-evergreen seasonal rain forest,NOTK,No,NOTK,,,AUTH,NOTA,,No,GCD1,BART
114,67,Longgan Lake core,30.1666,116.1666,12.1,XC25,6,ASIA,CHIN,LACU,3.78,LARG,MEDI,LRVA,"wetland vegetation(Cyperaceae,Pharagmites)",Evergreen broad-leaves forest and mixed deciduous and evergreen forest,INOU,No,NOTK,,,DIGI,NOTA,,No,GCD1,BART
115,104,Alamo Bog,35.9111,-106.5838,2630,X125,17,WNA0,US00,TBOG,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,CALO,R.S.Anderson/Renata Brunner,NOTK,RAW0,NOTA,1492,No,GCD3,BART
116,397,Chihuahue_os Bog,36.0472,-106.50833,2925,C125,20,WNA0,US00,TBOG,0,NOTK,NOTK,NOTK,NOTK,NOTK,NOTK,No,CALO,,NOTK,RAW0,NOTA,,No,GCD1,BART
118,60,Sao Francisco de Assis,-29.5867,-55.2172,100,X520,6,TSA0,BRAZ,TMIR,0,VESM,SMAL,LOPL,Lowland campos or grassland,Lowland campos or grassland,NOTK,Yes,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
119,79,Lagoa do Caco,-2.970219,-43.267808,120,CMGR,3,TSA0,BRAZ,LACU,12,MEDI,SMAL,COPL,"Coastal Brazilian steppe, cerrado, and gallery forest with rainforest species","Restinga, cerrado, rainforest",NOTK,No,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
120,52,Crominia,-17.278543,-49.418126,710,XCM3,3,TSA0,BRAZ,TMSH,0,VESM,SMAL,LOPL,Mauritia palm swamp or vereda,Cerrado with gallery forests,NOTK,Yes,RADI,mjp,NOMO,DIGI,NOTA,,No,GCD1,BART
121,293,Lac Francis,48.526389,-79.4722,305,XARE,8,ENA0,CANA,LKET,6,VESM,SMAL,LOPL,Needle leaf dominant,Mixed boreal forest,OUTO,No,CALO,PB00,NOTK,RAW0,NOTA,,No,GCD1,BART
123,319,Pas-de-Fond,48.80833,-78.8333,290,XARE,8,ENA0,CANA,LKET,11,VESM,SMAL,LOPL,Needle leaf dominant,Mixed boreal forest,OUTO,No,CALO,,NOTK,RAW0,NOTA,,No,GCD1,BART
